epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,1.0,,,
2.0,100.0,34.0,5952.0,500.0,14.705882,-200.0,-200.0,0.014079311,0.01,0.55,,,
4.0,200.0,66.0,11904.0,1000.0,15.151515,-200.0,-200.0,0.20848574,0.01,0.1,,,
7.0,100.0,104.0,17856.0,1500.0,14.423077,-200.0,-200.0,0.28895053,0.0099,0.1,,,
9.0,200.0,143.0,23808.0,2000.0,13.986014,-200.0,-200.0,0.8207948,0.0099,0.1,,,
12.0,100.0,180.0,29952.0,2500.0,13.888889,-200.0,-200.0,1.1006544,0.009801,0.1,,,
14.0,200.0,211.0,35904.0,3000.0,14.21801,-200.0,-200.0,1.4753745,0.009801,0.1,,,
17.0,100.0,242.0,41856.0,3500.0,14.46281,-200.0,-200.0,1.9116753,0.00970299,0.1,,,
19.0,200.0,272.0,47808.0,4000.0,14.705882,-200.0,-200.0,1.3178405,0.00970299,0.1,,,
22.0,100.0,304.0,53952.0,4500.0,14.802631,-200.0,-200.0,2.786737,0.00960596,0.1,,,
24.0,200.0,336.0,59904.0,5000.0,14.880953,-200.0,-200.0,2.26482,0.00960596,0.1,,,
27.0,100.0,367.0,65856.0,5500.0,14.986376,-200.0,-200.0,4.215772,0.009509901,0.1,,,
29.0,200.0,399.0,71808.0,6000.0,15.037594,-200.0,-200.0,3.370872,0.009509901,0.1,,,
32.0,100.0,435.0,77952.0,6500.0,14.942529,-200.0,-200.0,4.4053307,0.009414801,0.1,,,
34.0,200.0,478.0,83904.0,7000.0,14.644351,-200.0,-200.0,4.106707,0.009414801,0.1,,,
37.0,100.0,513.0,89856.0,7500.0,14.619883,-200.0,-200.0,3.3026958,0.009320653,0.1,,,
39.0,200.0,548.0,95808.0,8000.0,14.59854,-200.0,-200.0,3.446372,0.009320653,0.1,,,
42.0,100.0,582.0,101952.0,8500.0,14.604811,-200.0,-200.0,4.6293626,0.009227447,0.1,,,
44.0,200.0,616.0,107904.0,9000.0,14.61039,-200.0,-200.0,5.5690145,0.009227447,0.1,,,
47.0,100.0,650.0,113856.0,9500.0,14.615385,-200.0,-200.0,5.399082,0.009135173,0.1,,,
49.0,200.0,685.0,119808.0,10000.0,14.59854,-200.0,-200.0,4.6531744,0.009135173,0.1,,,
52.0,100.0,730.0,125952.0,10500.0,14.383562,-200.0,-200.0,7.6514645,0.009043821,0.1,,,
54.0,200.0,765.0,131904.0,11000.0,14.379085,-200.0,-200.0,6.3571587,0.009043821,0.1,,,
57.0,100.0,803.0,137856.0,11500.0,14.321295,-200.0,-200.0,3.9148402,0.008953382,0.1,,,
59.0,200.0,838.0,143808.0,12000.0,14.319809,-200.0,-200.0,9.620149,0.008953382,0.1,,,
62.0,100.0,875.0,149952.0,12500.0,14.285714,-200.0,-200.0,7.6763344,0.008863849,0.1,,,
64.0,200.0,908.0,155904.0,13000.0,14.317181,-200.0,-200.0,9.853683,0.008863849,0.1,,,
67.0,100.0,944.0,161856.0,13500.0,14.300847,-200.0,-200.0,10.104243,0.00877521,0.1,,,
69.0,200.0,976.0,167808.0,14000.0,14.344262,-200.0,-200.0,5.964218,0.00877521,0.1,,,
72.0,100.0,1010.0,173952.0,14500.0,14.356436,-200.0,-200.0,7.9535875,0.008687458,0.1,,,
74.0,200.0,1044.0,179904.0,15000.0,14.367816,-200.0,-200.0,8.762066,0.008687458,0.1,,,
77.0,100.0,1076.0,185856.0,15500.0,14.405205,-200.0,-200.0,5.7452106,0.008600583,0.1,,,
80.0,44.0,1109.0,191808.0,16000.0,14.427412,-200.0,-200.0,9.986805,0.008600583,0.1,,,
82.0,144.0,1146.0,197952.0,16500.0,14.397905,-200.0,-200.0,7.4017873,0.0085145775,0.1,,,
85.0,44.0,1181.0,203904.0,17000.0,14.394581,-200.0,-200.0,11.140943,0.0085145775,0.1,,,
87.0,144.0,1216.0,209856.0,17500.0,14.391447,-200.0,-200.0,8.831027,0.008429432,0.1,,,
90.0,44.0,1252.0,215808.0,18000.0,14.376997,-200.0,-200.0,12.55522,0.008429432,0.1,,,
92.0,144.0,1299.0,221952.0,18500.0,14.241724,-200.0,-200.0,12.978033,0.008345137,0.1,,,
95.0,44.0,1339.0,227904.0,19000.0,14.189693,-200.0,-200.0,7.001027,0.008345137,0.1,,,
97.0,144.0,1379.0,233856.0,19500.0,14.140681,-200.0,-200.0,8.016428,0.008261686,0.1,,,
100.0,44.0,1415.0,239808.0,20000.0,14.134275,-200.0,-200.0,5.9123745,0.008261686,0.1,,,
102.0,144.0,1453.0,245952.0,20500.0,14.108741,-200.0,-200.0,9.705659,0.0081790695,0.1,,,
105.0,44.0,1493.0,251904.0,21000.0,14.0656395,-200.0,-200.0,10.724228,0.0081790695,0.1,,,
