epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.02,,0.01,,
49.0,200.0,22.0,250.0,10000.0,454.54544,-200.0,-200.0,-1.7949487e-06,0.02,,0.0055,2.3241948e-05,
99.0,200.0,48.0,500.0,20000.0,416.66666,-200.0,-200.0,-1.8872103e-06,0.02,,0.001,2.0504038e-05,
149.0,200.0,69.0,750.0,30000.0,434.78262,-200.0,-200.0,-1.3456155e-06,0.02,,0.001,2.0728025e-05,
199.0,200.0,107.0,1000.0,40000.0,373.8318,-200.0,-200.0,-2.1987858e-06,0.02,,0.001,2.0045909e-05,
249.0,200.0,130.0,1250.0,50000.0,384.6154,-200.0,-200.0,-2.696659e-06,0.02,,0.001,1.95131e-05,
299.0,200.0,159.0,1500.0,60000.0,377.3585,-200.0,-200.0,-2.17436e-06,0.02,,0.001,2.0158863e-05,
349.0,200.0,185.0,1750.0,70000.0,378.3784,-200.0,-200.0,-1.0947485e-06,0.02,,0.001,1.8296401e-05,
399.0,200.0,212.0,2000.0,80000.0,377.3585,-200.0,-200.0,-8.218487e-07,0.02,,0.001,1.8106943e-05,
449.0,200.0,237.0,2250.0,90000.0,379.74683,-200.0,-200.0,-2.3874422e-06,0.02,,0.001,2.0143343e-05,
499.0,200.0,264.0,2500.0,100000.0,378.78787,-200.0,-200.0,-1.0464751e-06,0.02,,0.001,1.8517227e-05,
